id,word,level
199,poem,1
200,sand,1
201,thin,1
202,tube,1
203,wife,1
204,fair,1
205,like,1
206,them,1
207,will,1
208,also,1
209,live,1
210,name,1
211,well,1
212,four,1
213,fall,1
214,knew,1
215,sing,1
216,told,1
217,ball,1
218,feel,1
219,road,1
220,stay,1
221,verb,1
222,drop,1
223,kept,1
224,main,1
225,mind,1
226,past,1
227,race,1
228,test,1
229,west,1
230,baby,1
231,case,1
232,free,1
233,hole,1
234,bank,1
235,ears,1
236,flow,1
237,lady,1
238,ring,1
239,sent,1
240,skin,1
241,bone,1
242,meat,1
243,pole,1
244,spot,1
245,thus,1
246,dead,1
247,fear,1
248,seat,1
249,long,1
250,said,1
251,then,1
252,with,1
253,form,1
254,just,1
255,need,1
256,play,1
257,show,1
258,went,1
259,girl,1
260,list,1
261,once,1
262,stop,1
263,walk,1
264,best,1
265,farm,1
266,base,1
267,dark,1
268,wait,1
269,edge,1
270,held,1
271,rain,1
272,soft,1
273,wish,1
274,bear,1
275,hope,1
276,milk,1
277,ride,1
278,tiny,1
279,east,1
280,foot,1
281,grew,1
282,rise,1
283,wire,1
284,mine,1
285,park,1
286,sell,1
287,swim,1
288,tied,1
289,wash,1
290,born,1
291,corn,1
292,deal,1
293,come,1
294,from,1
295,look,1
296,kind,1
297,city,1
298,eyes,1
299,it’s,1
300,open,1
301,fast,1
302,half,1
303,less,1
304,pair,1
305,rule,1
306,warm,1
307,eggs,1
308,felt,1
309,gone,1
310,legs,1
311,meet,1
312,moon,1
313,sign,1
314,wide,1
315,made,1
316,give,1
317,know,1
318,face,1
319,keep,1
320,mile,1
321,seem,1
322,talk,1
323,hold,1
324,rock,1
325,town,1
326,deep,1
327,fine,1
328,heat,1
329,week,1
330,make,1
331,they,1
332,came,1
333,good,1
334,land,1
335,read,1
336,work,1
337,grow,1
338,last,1
339,miss,1
340,side,1
341,door,1
342,room,1
343,boat,1
344,done,1
345,many,1
346,some,1
347,this,1
348,were,1
349,most,1
350,only,1
351,hard,1
352,late,1
353,body,1
354,draw,1
355,fire,1
356,plan,1
357,seen,1
358,step,1
359,wind,1
360,into,1
361,than,1
362,time,1
363,what,1
364,your,1
365,hand,1
366,same,1
367,turn,1
368,head,1
369,near,1
370,real,1
371,fish,1
372,unit,1
373,wood,1
374,note,1
375,other,2
376,after,2
377,above,2
378,earth,2
379,never,2
380,river,2
381,early,2
382,music,2
383,bring,2
384,cells,2
385,grass,2
386,paint,2
387,ready,2
388,store,2
389,build,2
390,cross,2
391,quiet,2
392,alone,2
393,break,2
394,catch,2
395,clean,2
396,least,2
397,serve,2
398,stick,2
399,woman,2
400,blood,2
401,enjoy,2
402,guess,2
403,sight,2
404,terms,2
405,ahead,2
406,death,2
407,shoes,2
408,smell,2
409,track,2
410,women,2
411,about,2
412,which,2
413,again,2
414,color,2
415,north,2
416,short,2
417,table,2
418,drive,2
419,happy,2
420,angle,2
421,floor,2
422,metal,2
423,quite,2
424,speak,2
425,brown,2
426,human,2
427,visit,2
428,wrote,2
429,chief,2
430,major,2
431,sense,2
432,thick,2
433,trade,2
434,allow,2
435,march,2
436,scale,2
437,speed,2
438,cents,2
439,cloud,2
440,glass,2
441,maybe,2
442,seeds,2
443,touch,2
444,board,2
445,crops,2
446,eight,2
447,seven,2
448,apple,2
449,fresh,2
450,isn’t,2
451,match,2
452,score,2
453,sugar,2
454,truck,2
455,we’ll,2
456,first,2
457,house,2
458,place,2
459,along,2
460,carry,2
461,every,2
462,light,2
463,often,2
464,state,2
465,until,2
466,vowel,2
467,built,2
468,known,2
469,ocean,2
470,heart,2
471,dress,2
472,let’s,2
473,solve,2
474,child,2
475,coast,2
476,equal,2
477,mouth,2
478,whose,2
479,crowd,2
480,fruit,2
481,sharp,2
482,value,2
483,wings,2
484,Greek,2
485,radio,2
486,steel,2
487,tools,2
488,wrong,2
489,think,2
490,cried,2
491,heard,2
492,order,2
493,green,2
494,round,2
495,stood,2
496,can’t,2
497,dance,2
498,shall,2
499,third,2
500,count,2
501,fight,2
502,sleep,2
503,stone,2
504,party,2
505,uncle,2
506,block,2
507,won’t,2
508,chart,2
509,level,2
510,total,2
511,there,2
512,water,2
513,words,2
514,found,2
515,point,2
516,small,2
517,three,2
518,where,2
519,began,2
520,might,2
521,story,2
522,watch,2
523,south,2
524,waves,2
525,cause,2
526,train,2
527,could,2
528,these,2
529,would,2
530,means,2
531,sound,2
532,begin,2
533,close,2
534,group,2
535,while,2
536,birds,2
537,field,2
538,space,2
539,check,2
540,write,2
541,spell,2
542,being,2
543,paper,2
544,those,2
545,white,2
546,black,2
547,horse,2
548,piece,2
549,stand,2
550,whole,2
551,heavy,2
552,plane,2
553,shape,2
554,great,2
555,large,2
556,right,2
557,still,2
558,world,2
559,below,2
560,plant,2
561,hours,2
562,money,2
563,class,2
564,force,2
565,power,2
566,shown,2
567,learn,2
568,study,2
569,years,2
570,don’t,2
571,leave,2
572,young,2
573,bread,2
574,clear,2
575,front,2
576,letter,2
577,across,2
578,common,2
579,though,2
580,energy,2
581,length,2
582,return,2
583,simple,2
584,amount,2
585,melody,2
586,moment,2
587,phrase,2
588,rolled,2
589,smiled,2
590,design,2
591,garden,2
592,itself,2
593,valley,2
594,cattle,2
595,doctor,2
596,famous,2
597,modern,2
598,stream,2
599,wasn’t,2
600,action,2
601,bought,2
602,church,2
603,cotton,2
604,pulled,2
605,inside,2
606,center,2
607,Europe,2
608,reason,2
609,window,2
610,Africa,2
611,nation,2
612,caught,2
613,direct,2
614,engine,2
615,joined,2
616,period,2
617,corner,2
618,silent,2
619,string,2
620,weight,2
621,column,2
622,effect,2
623,France,2
624,office,2
625,pretty,2
626,suffix,2
627,appear,2
628,bottom,2
629,method,2
630,remain,2
631,plains,2
632,report,2
633,single,2
634,except,2
635,create,2
636,entire,2
637,called,2
638,people,2
639,follow,2
640,should,2
641,things,2
642,school,2
643,become,2
644,course,2
645,forest,2
646,record,2
647,winter,2
648,bright,2
649,jumped,2
650,middle,2
651,pounds,2
652,result,2
653,spring,2
654,within,2
655,please,2
656,you’re,2
657,belong,2
658,rather,2
659,supply,2
660,afraid,2
661,chance,2
662,oxygen,2
663,before,2
664,always,2
665,Indian,2
666,listen,2
667,slowly,2
668,cannot,2
669,filled,2
670,matter,2
671,months,2
672,region,2
673,broken,2
674,either,2
675,French,2
676,killed,2
677,pushed,2
678,wonder,2
679,choose,2
680,desert,2
681,expect,2
682,lifted,2
683,rhythm,2
684,spread,2
685,agreed,2
686,plural,2
687,sister,2
688,yellow,2
689,number,2
690,animal,2
691,second,2
692,better,2
693,didn’t,2
694,passed,2
695,toward,2
696,became,2
697,street,2
698,beside,2
699,picked,2
700,raised,2
701,square,2
702,summer,2
703,behind,2
704,person,2
705,strong,2
706,answer,2
707,family,2
708,figure,2
709,travel,2
710,circle,2
711,wheels,2
712,change,2
713,system,2
714,around,2
715,mother,2
716,father,2
717,during,2
718,inches,2
719,hundred,3
720,include,3
721,nothing,3
722,quickly,3
723,divided,3
724,members,3
725,present,3
726,century,3
727,fingers,3
728,control,3
729,express,3
730,history,3
731,symbols,3
732,insects,3
733,process,3
734,doesn’t,3
735,forward,3
736,located,3
737,against,3
738,friends,3
739,usually,3
740,brought,3
741,contain,3
742,explain,3
743,special,3
744,flowers,3
745,million,3
746,subject,3
747,teacher,3
748,weather,3
749,instead,3
750,laughed,3
751,climbed,3
752,feeling,3
753,shouted,3
754,dollars,3
755,entered,3
756,planets,3
757,British,3
758,details,3
759,workers,3
760,exactly,3
761,natural,3
762,village,3
763,burning,3
764,drawing,3
765,England,3
766,hunting,3
767,strange,3
768,compare,3
769,provide,3
770,capital,3
771,company,3
772,printed,3
773,similar,3
774,because,3
775,covered,3
776,numeral,3
777,reached,3
778,brother,3
779,clothes,3
780,already,3
781,factors,3
782,outside,3
783,section,3
784,decimal,3
785,trouble,3
786,observe,3
787,science,3
788,arrived,3
789,western,3
790,America,3
791,example,3
792,believe,3
793,farmers,3
794,general,3
795,perhaps,3
796,whether,3
797,someone,3
798,captain,3
799,suppose,3
800,current,3
801,evening,3
802,settled,3
803,various,3
804,himself,3
805,decided,3
806,finally,3
807,written,3
808,another,3
809,through,3
810,pattern,3
811,machine,3
812,country,3
813,measure,3
814,surface,3
815,thought,3
816,without,3
817,minutes,3
818,between,3
819,certain,3
820,however,3
821,morning,3
822,problem,3
823,several,3
824,English,3
825,produce,3
826,products,3
827,equation,3
828,anything,3
829,finished,3
830,interest,3
831,everyone,3
832,surprise,3
833,addition,3
834,prepared,3
835,sentence,3
836,probably,3
837,received,3
838,straight,3
839,movement,3
840,property,3
841,actually,3
842,solution,3
843,triangle,3
844,fraction,3
845,possible,3
846,Japanese,3
847,soldiers,3
848,opposite,3
849,southern,3
850,wouldn’t,3
851,happened,3
852,exercise,3
853,suddenly,3
854,couldn’t,3
855,business,3
856,increase,3
857,students,3
858,compound,3
859,electric,3
860,exciting,3
861,indicate,3
862,children,3
863,language,3
864,although,3
865,practice,3
866,separate,3
867,yourself,3
868,branches,3
869,consider,3
870,elements,3
871,industry,3
872,position,3
873,shoulder,3
874,division,3
875,northern,3
876,repeated,3
877,remember,3
878,describe,3
879,distance,3
880,material,3
881,together,3
882,developed,4
883,syllables,4
884,president,4
885,thousands,4
886,paragraph,4
887,consonant,4
888,factories,4
889,necessary,4
890,suggested,4
891,adjective,4
892,determine,4
893,important,4
894,beautiful,4
895,direction,4
896,difficult,4
897,molecules,4
898,underline,4
899,continued,4
900,statement,4
901,stretched,4
902,carefully,4
903,represent,4
904,mountains,4
905,something,4
906,different,4
907,sometimes,4
908,particular,4
909,experience,4
910,substances,4
911,difference,4
912,dictionary,4
913,everything,4
914,Washington,4
915,government,4
916,themselves,4
917,conditions,4
918,especially,4
919,discovered,4
920,experiment,4
921,scientists,4
922,interesting,4
923,temperature,4
924,information,4
925,instruments,4
926,back,2
927,fascinating,2
928,feed,2
929,mice,2
930,free,2
931,could,2
932,gave,2
933,flag,2
934,hush,2
935,crop,2
936,around,2
937,glad,2
938,better,2
939,ask,2
940,them,2
941,class,2
942,open,2
943,tune,2
944,away,2
945,shape,2
946,wash,2
947,place,2
948,camp,2
949,barn,2
950,most,2
951,cannot,2
952,those,2
953,because,2
954,each,2
955,before,2
956,purple,2
957,bird,2
958,brother,2
959,4.  fast,2
960,under,2
961,work,2
962,hint,2
963,doors,2
964,drive,2
965,mittens,2
966,every,2
967,going,2
968,dark,2
969,just,2
970,drip,2
971,says,2
972,might,2
973,lunch,2
974,eleven,2
975,much,2
976,mail,2
977,goes,2
978,tower,2
979,pattern,2
980,loud,2
981,lock,2
982,rabbit,2
983,second,2
984,story,2
985,where,2
986,airplane,2
987,together,2
988,basket,2
989,bushes,2
990,zipped,2
991,careful,2
992,room,2
993,cherries,2
994,clear,2
995,cobweb,2
996,crazy,2
997,dragon,2
998,early,2
999,everyone,2
1000,flavor,2
1001,river,2
1002,puddle,2
1003,candy,2
1004,itself,2
1005,janitor,2
1006,knock,2
1007,lucky,2
1008,morning,2
1009,orange,2
1010,painter,2
1011,recess,2
1012,scratch,2
1013,secret,2
1014,coat,2
1015,until,2
1016,picture,2
1017,window,2
1018,young,2
1019,unicorn,2
1020,toothpaste,2
1021,dinosaur,2
1022,accident,2
1023,biscuit,2
1024,mysterious,2
1025,call,2
1026,bear,3
1027,along,3
1028,ridiculous,3
1029,anyone,3
1030,planning,3
1031,done,3
1032,coming,3
1033,arm,3
1034,babies,3
1035,goose,3
1036,sadness,3
1037,meal,3
1038,food,3
1039,bedtime,3
1040,sickness,3
1041,behind,3
1042,maybe,3
1043,bench,3
1044,pancake,3
1045,helpful,3
1046,jeans,3
1047,thanks,3
1048,should,3
1049,once,3
1050,thirst,3
1051,pushes,3
1052,butter,3
1053,matches,3
1054,rocket,3
1055,carries,3
1056,price,3
1057,chair,3
1058,drawing,3
1059,change,3
1060,boxes,3
1061,fired,3
1062,cheese,3
1063,city,3
1064,clothes,3
1065,forgot,3
1066,coach,3
1067,shirt,3
1068,crackers,3
1069,afternoon,3
1070,cried,3
1071,alike,3
1072,trying,3
1073,unsafe,3
1074,crumb,3
1075,doctor,3
1076,enjoy,3
1077,everyday,3
1078,goldfish,3
1079,delight,3
1080,haircut,3
1081,heart,3
1082,shopping,3
1083,mouth,3
1084,quickly,3
1085,hobbies,3
1086,homework,3
1087,lightly,3
1088,huge,3
1089,jellyfish,3
1090,knee,3
1091,ladybug,3
1092,almost,3
1093,lamb,3
1094,lesson,3
1095,soap,3
1096,lively,3
1097,strong,3
1098,noise,3
1099,please,3
1100,rainstorm,3
1101,return,3
1102,angry,3
1103,keep,3
1104,sparkle,3
1105,squirt,3
1106,studies,3
1107,bounce,3
1108,surely,3
1109,chipmunk,3
1110,video,3
1111,visiting,3
1112,measure,3
1113,watched,3
1114,smiled,3
1115,tighten,3
1116,cheerfully,3
1117,plumber,3
1118,although,3
1119,believe,3
1120,neighborhood,3
1121,gigantic,3
1122,caterpillar,3
1123,surrounded,3
1124,temperature,3
1125,needle,4
1126,hippopotamus,4
1127,carrying,4
1128,fasten,4
1129,hungry,4
1130,against,4
1131,bridge,4
1132,foggy,4
1133,cloth,4
1134,boast,4
1135,jogging,4
1136,alarm,4
1137,calf,4
1138,weather,4
1139,medal,4
1140,wander,4
1141,plastic,4
1142,whistle,4
1143,knob,4
1144,bandage,4
1145,dairy,4
1146,downstairs,4
1147,candle,4
1148,barely,4
1149,activities,4
1150,famous,4
1151,chief,4
1152,sauce,4
1153,choose,4
1154,voices,4
1155,answer,4
1156,cactus,4
1157,mango,4
1158,harsh,4
1159,drawer,4
1160,people,4
1161,42. adventure,4
1162,easily,4
1163,bought,4
1164,village,4
1165,holidays,4
1166,ocean,4
1167,studying,4
1168,nickel,4
1169,jacket,4
1170,question,4
1171,lovable,4
1172,hospital,4
1173,harbor,4
1174,beauty,4
1175,thirsty,4
1176,heaviest,4
1177,freeze,4
1178,remember,4
1179,turkey,4
1180,enough,4
1181,breath,4
1182,building,4
1183,groceries,4
1184,cellar,4
1185,through,4
1186,written,4
1187,countries,4
1188,skeleton,4
1189,allowance,4
1190,friendship,4
1191,pilot,4
1192,alphabet,4
1193,cough,4
1194,overheard,4
1195,ceiling,4
1196,tomorrow,4
1197,reindeer,4
1198,delightfully,4
1199,eighty,4
1200,giraffe,4
1201,decorator,4
1202,movie,4
1203,electric,4
1204,raccoon,4
1205,squirrel,4
1206,relaxation,4
1207,believable,4
1208,interested,4
1209,genius,4
1210,uncertain,4
1211,counselor,4
1212,transportation,4
1213,laziest,4
1214,binoculars,4
1215,preposterous,4
1216,disguise,4
1217,acquainted,4
1218,imagination,4
1219,pyramid,4
1220,algae,4
1221,xylophone,4
1222,zigzagged,4
1223,amphibian,4
1224,ladder,4
1225,knives,5
1226,doubt,5
1227,collar,5
1228,amusement,5
1229,fought,5
1230,jungle,5
1231,microphone,5
1232,radio,5
1233,expect,5
1234,souvenir,5
1235,breathe,5
1236,buried,5
1237,awaken,5
1238,desert,5
1239,wherefore,5
1240,information,5
1241,celebration,5
1242,unusual,5
1243,dictionary,5
1244,vineyard,5
1245,ballerina,5
1246,biography,5
1247,worthwhile,5
1248,decided,5
1249,capsule,5
1250,division,5
1251, straighten,5
1252,difference,5
1253,solemn,5
1254,ultimatum,5
1255,careless,5
1256,garage,5
1257,oxygen,5
1258,century,5
1259,pearl,5
1260,dozen,5
1261,tasty,5
1262,science,5
1263,furniture,5
1264,instrument,5
1265,ourselves,5
1266,factory,5
1267,swollen,5
1268,government,5
1269,nectarine,5
1270,cruise,5
1271,opposite,5
1272,create,5
1273,nourish,5
1274,claim,5
1275,alert,5
1276,solid,5
1277,pickle,5
1278,braid,5
1279,borrow,5
1280,castle,5
1281,meadow,5
1282,clumsy,5
1283,addition,5
1284,postage,5
1285,jewel,5
1286,spider,5
1287,eaten,5
1288,honest,5
1289,actually,5
1290,coffee,5
1291,limit,5
1292,energy,5
1293,cabbage,5
1294,harvest,5
1295,grease,5
1296,altitude,5
1297,idea,5
1298,healthy,5
1299,agenda,5
1300,fault,5
1301,annoying,5
1302,eraser,5
1303,practice,5
1304,daughter,5
1305,syrup,5
1306,arrival,5
1307,continent,5
1308,delicious,5
1309,accumulation,5
1310,guarantee,5
1311,forfeit,5
1312,irresistible,5
1313,receipt,5
1314,inconvenient,5
1315,climbed,5
1316,active,5
1317,clamp,5
1318,bottom,5
1319,closet,5
1320,shower,5
1321,cardboard,5
1322,signal,5
1323,reign,5
1324,acre,5
1325,announcement               ,5
1326,hyena,5
1327,milquetoast,5
1328,personal,5
1329,absurd,5
1330,luggage,5
1331,fossil,5
1332,octagon,5
1333,improvement,5
1334,achieve,5
1335,liquid,5
1336,junior,5
1337,career   ,5
1338,adobe,5
1339,halves,5
1340,quarry,5
1341,relief,5
1342,senator,5
1343,sponge,5
1344,coupon,5
1345,alien,5
1346,barricade,5
1347,skillful,5
1348,loaves   ,5
1349,secrecy,5
1350,majority,5
1351,original,5
1352,advisory,5
1353,hydrogen,5
1354,adequacy,5
1355,fluent,5
1356,barbecue,5
1357,raisin,5
1358,knowledge,5
1359,diagram   ,5
1360,radius,5
1361,macaroni,5
1362,invisible,5
1363,acceptance,5
1364,musician,5
1365,elevator,5
1366,vaccine,5
1367,cautious,5
1368,definitely,5
1369,equator,5
1370,forehead   ,5
1371,physical,5
1372,electricity   ,5
1373,glacial   ,5
1374,asteroid   ,5
1375,exterior   ,5
1376,beige   ,5
1377,faucet   ,5
1378,caramel   ,5
1379,unnoticed ,5
1380,thousand   ,5
1381,strategy,5
1382,circuit,5
1383,investigator,5
1384,referred,5
1385,blatant ,5
1386,wreckage,5
1387,numerator,5
1388,questionable,5
1389,katydid,5
1390,penguin,5
1391,ability   ,5
1392,opossum,5
1393,jaguar,5
1394,requirement,5
1395,deceitful,5
1396,cheddar,5
1397,awkwardness,5
1398,genetics,5
1399,basilica,5
1400,cathedral,5
1401,disinfectant,5
1402,importance   ,5
1403,vinegar,5
1404,walruses,5
1405,origami,5
1406,matinee,5
1407,anemometer,5
1408,bonsai,5
1409,chipotle,5
1410,larynx,5
1411,interrupt,5
1412,broccoli,5
1413,lawyer,5
1414,parentheses,5
1415,cologne,5
1416,confectionery,5
1417,morose,5
1418,platypus,5
1419,hypothesis,5
1420,commissariat,5
1421,descendent,5
1422,oblique,5
1423,playwright,5
1424,gallon   ,5
